statisticalID,name,partOf,code,physicalType
MX31001,Abalá,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX05001,Abasolo,Location/MX05,ADMIN_STRUCTURE,Jurisdiction
MX11001,Abasolo,Location/MX11,ADMIN_STRUCTURE,Jurisdiction
MX19001,Abasolo,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX28001,Abasolo,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX20001,Abejones,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX07001,Acacoyagua,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX21001,Acajete,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30001,Acajete,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX07002,Acala,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX11002,Acámbaro,Location/MX11,ADMIN_STRUCTURE,Jurisdiction
MX15001,Acambay de Ruíz Castañeda,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX31002,Acanceh,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX07003,Acapetahua,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX18001,Acaponeta,Location/MX18,ADMIN_STRUCTURE,Jurisdiction
MX12001,Acapulco de Juárez,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX21002,Acateno,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX12076,Acatepec,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX14001,Acatic,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX13001,Acatlán,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX21003,Acatlán,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30002,Acatlán,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX14002,Acatlán de Juárez,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX20002,Acatlán de Pérez Figueroa,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX21004,Acatzingo,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX13002,Acaxochitlán,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX30003,Acayucan,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX15002,Acolman,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX26001,Aconchi,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX21005,Acteopan,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX13003,Actopan,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX30004,Actopan,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX29022,Acuamanala de Miguel Hidalgo,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX16001,Acuitzio,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX30005,Acula,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX15003,Aculco,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX30006,Acultzingo,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX05002,Acuña,Location/MX05,ADMIN_STRUCTURE,Jurisdiction
MX13004,Agua Blanca de Iturbide,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX30204,Agua Dulce,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX26002,Agua Prieta,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX19002,Agualeguas,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX01001,Aguascalientes,Location/MX01,ADMIN_STRUCTURE,Jurisdiction
MX16002,Aguililla,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX25001,Ahome,Location/MX25,ADMIN_STRUCTURE,Jurisdiction
MX18002,Ahuacatlán,Location/MX18,ADMIN_STRUCTURE,Jurisdiction
MX21006,Ahuacatlán,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX12002,Ahuacuotzingo,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX24001,Ahualulco,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX14003,Ahualulco de Mercado,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX21007,Ahuatlán,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX21008,Ahuazotepec,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX21009,Ahuehuetitla,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX08001,Ahumada,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX13005,Ajacuba,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX21010,Ajalpan,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX12003,Ajuchitlán del Progreso,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX31003,Akil,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX30160,Álamo Temapache,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX26003,Alamos,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX24002,Alaquines,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX21011,Albino Zertuche,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX12004,Alcozauca de Guerrero,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX07113,Aldama,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX08002,Aldama,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX28002,Aldama,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX13006,Alfajayucan,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX21012,Aljojuca,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX05003,Allende,Location/MX05,ADMIN_STRUCTURE,Jurisdiction
MX08003,Allende,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX19004,Allende,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX13007,Almoloya,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX15004,Almoloya de Alquisiras,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX15005,Almoloya de Juárez,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX15006,Almoloya del Río,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX30008,Alpatláhuac,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX12005,Alpoyeca,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX28003,Altamira,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX07004,Altamirano,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX26004,Altar,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX21013,Altepexi,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30009,Alto Lucero de Gutiérrez Barrios,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX30010,Altotonga,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX30011,Alvarado,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
